id,count,timestamp,timestamp_rel,source,total_plus,total_minus
100,29,1683741472.2242358,250.16945886611938,Dev-Test,29,0
101,30,1683741474.520709,252.4659321308136,Dev-Test,30,0
102,31,1683741481.9184825,7.397773504257202,Dev-Test,31,0
103,32,1683741537.687152,55.76866936683655,Dev-Test,32,0
104,33,1683741539.3836064,57.465123891830444,Dev-Test,33,0
105,34,1683741550.6971648,68.77868223190308,Dev-Test,34,0
106,35,1683741551.3214362,69.40295362472534,Dev-Test,35,0
107,36,1683741552.3115158,70.3930332660675,Dev-Test,36,0
108,37,1683741553.0229664,71.10448384284973,Dev-Test,37,0
109,38,1683741553.4113772,71.49289464950562,Dev-Test,38,0
110,39,1683741553.7565978,71.83811521530151,Dev-Test,39,0
111,40,1683741554.0373173,72.11883473396301,Dev-Test,40,0
112,41,1683741554.3335304,72.41504788398743,Dev-Test,41,0
113,42,1683741554.6198008,72.70131826400757,Dev-Test,42,0
114,43,1683741554.900211,72.98172855377197,Dev-Test,43,0
115,44,1683741555.0723312,73.15384864807129,Dev-Test,44,0
116,45,1683741555.2214427,73.30296015739441,Dev-Test,45,0
117,46,1683741555.4073665,73.48888397216797,Dev-Test,46,0
118,47,1683741555.5953455,73.67686295509338,Dev-Test,47,0
119,48,1683741555.940996,74.0225133895874,Dev-Test,48,0
120,49,1683741556.4317734,74.5132908821106,Dev-Test,49,0
121,50,1683741556.6148114,74.69632887840271,Dev-Test,50,0
122,51,1683741557.2137198,75.29523730278015,Dev-Test,51,0
